_id,airline,name,alias,iata,icao,active,country,base
56e9b497732b6122f8791072,3576,Nacoia Lda,,ANL,AIR NACOIA,N,Angola,IKO
56e9b497732b6122f8791073,3577,Nada Air Service,,NHZ,NADA AIR,N,Chad,KUK
56e9b497732b6122f8791074,3578,Compangnie Nationale Naganagani,,BFN,,N,Burkina Faso,LUZ
56e9b497732b6122f8791075,3579,Nahanni Air Services Ltd,,NAH,NAHANNI,N,Canada,FDE
56e9b497732b6122f8791076,3580,Nakheel Aviation,,NKL,NAKHEEL,N,United Arab Emirates,HAQ
56e9b497732b6122f8791077,3581,Namibia Commerical Aviation,,MRE,MED RESCUE,N,Namibia,NAY
56e9b497732b6122f8791078,3582,Namibian Defence Force,,NDF,NAMIBIAN AIR FORCE,N,Namibia,LDU
56e9b497732b6122f8791079,3583,Nanjing Airlines,,CNJ,NINGHANG,N,China,SAB
56e9b497732b6122f879107a,3584,Nantucket Airlines,DV,ACK,ACK AIR,N,United States,KOP
56e9b497732b6122f879107b,3585,Nanyah Aviation,,NYA,NANYAH,N,Israel,SDL
56e9b497732b6122f879107c,3586,Napier Air Service Inc,,NAP,NAPIER,N,United States,AZA
56e9b497732b6122f879107d,3587,Nas Air,,NCM,AIR BANE,N,Angola,JIQ
56e9b497732b6122f879107e,3588,Nas Air,P9,,,N,Mali,YUY
56e9b497732b6122f879107f,3589,Nasair,UE,NAS,NASAIRWAYS,Y,Eritrea,MFU
56e9b497732b6122f8791080,3590,Nashville Jet Charters,,NJC,NASHVILLE JET,N,United States,GRV
56e9b497732b6122f8791081,3591,Natalco Air Lines,,NCO,NATALCO,N,S,LNE
56e9b497732b6122f8791082,3592,Natioanl Air Traffic Controllers Association,,NTK,NATCA,N,United States,GDZ
56e9b497732b6122f8791083,3593,National Air Charter,,NSR,NASAIR,N,Indonesia,YNJ
56e9b497732b6122f8791084,3594,National Air Traffic Services,,RFI,SHERLOCK,N,United Kingdom,NCL
56e9b497732b6122f8791085,3595,National Airlines,,NaN,NATION AIR,N,United States,MTM
56e9b497732b6122f8791086,3596,National Airlines,N4,NCN,,N,Chile,HRE
